group;week;zscore
15to44;2021-11;0.73
15to44;2021-12;0.99
15to44;2021-13;2.76
15to44;2021-14;2.47
15to44;2021-15;2.49
15to44;2021-16;1.8
15to44;2021-17;1.51
15to44;2021-18;2.97
15to44;2021-19;0.51
15to44;2021-20;0.9
15to44;2021-21;0.31
15to44;2021-22;1.67
15to44;2021-23;0.27
15to44;2021-24;3.45
15to44;2021-25;2.82
15to44;2021-26;1.96
15to44;2021-27;2.65
15to44;2021-28;4.12
15to44;2021-29;4.69
15to44;2021-30;4.41
15to44;2021-31;2.5
15to44;2021-32;4.12
15to44;2021-33;2.36
15to44;2021-34;2.37
15to44;2021-35;3.05
15to44;2021-36;4.67
15to44;2021-37;4.88
15to44;2021-38;3.73
15to44;2021-39;3.85
15to44;2021-40;2.64
15to44;2021-41;1.86
15to44;2021-42;3.5
15to44;2021-43;1.99
15to44;2021-44;1.77
15to44;2021-45;3.06
15to44;2021-46;-1.21
45to64;2016-48;3.14
45to64;2016-49;1.45
45to64;2016-50;2.72
45to64;2016-51;5.37
45to64;2016-52;6.28
45to64;2017-01;8.59
45to64;2017-02;8.47
45to64;2017-03;5.99
45to64;2017-04;4.49
45to64;2017-05;6.72
45to64;2017-06;4.74
45to64;2017-07;3.12
45to64;2017-08;2.41
45to64;2017-09;1.79
45to64;2017-10;0.42
45to64;2017-11;-0.71
45to64;2017-12;-0.07
45to64;2017-13;-1
45to64;2017-14;-0.96
45to64;2017-15;-0.37
45to64;2017-16;-1.84
45to64;2017-17;1.71
45to64;2017-18;0.36
45to64;2017-19;1.37
45to64;2017-20;-0.21
45to64;2017-21;0.93
45to64;2017-22;-1.2
45to64;2017-23;-0.65
45to64;2017-24;0.5
45to64;2017-25;3.41
45to64;2017-26;-1.61
45to64;2017-27;-0.53
45to64;2017-28;1.6
45to64;2017-29;1.37
45to64;2017-30;-0.67
45to64;2017-31;2.98
45to64;2017-32;0.1
45to64;2017-33;-2.18
45to64;2017-34;-0.44
45to64;2017-35;-0.14
45to64;2017-36;-1.22
45to64;2017-37;-0.75
45to64;2017-38;0.31
45to64;2017-39;0.52
45to64;2017-40;2.03
45to64;2017-41;0.87
45to64;2017-42;0.5
45to64;2017-43;-0.47
45to64;2017-44;-0.47
45to64;2017-45;1.34
45to64;2017-46;2.84
45to64;2017-47;1.15
45to64;2017-48;1.78
45to64;2017-49;2.47
45to64;2017-50;4.18
45to64;2017-51;4.78
45to64;2017-52;7.4
45to64;2018-01;8.82
45to64;2018-02;5.35
45to64;2018-03;6.18
45to64;2018-04;4.17
45to64;2018-05;5
45to64;2018-06;4.34
45to64;2018-07;7.32
45to64;2018-08;9.41
45to64;2018-09;11.79
45to64;2018-10;11.3
45to64;2018-11;8.21
45to64;2018-12;6.4
45to64;2018-13;2.87
45to64;2018-14;5.51
45to64;2018-15;3.93
45to64;2018-16;0.85
45to64;2018-17;-0.4
45to64;2018-18;-0.4
45to64;2018-19;-1
45to64;2018-20;0.11
45to64;2018-21;-0.19
45to64;2018-22;0.18
45to64;2018-23;0.24
45to64;2018-24;-0.36
45to64;2018-25;0.11
45to64;2018-26;1.48
45to64;2018-27;1.1
45to64;2018-28;-0.05
45to64;2018-29;1.5
45to64;2018-30;3.38
45to64;2018-31;5.04
45to64;2018-32;2.9
45to64;2018-33;-0.43
45to64;2018-34;-0.55
45to64;2018-35;0.01
45to64;2018-36;0.26
45to64;2018-37;-1.24
45to64;2018-38;-0.13
45to64;2018-39;0.53
45to64;2018-40;1.6
45to64;2018-41;-0.49
45to64;2018-42;-1.47
45to64;2018-43;-0.52
45to64;2018-44;-0.13
45to64;2018-45;0.75
45to64;2018-46;0.46
45to64;2018-47;0.07
45to64;2018-48;1.35
45to64;2018-49;1.49
45to64;2018-50;0.92
45to64;2018-51;3.84
45to64;2018-52;2.34
45to64;2019-01;5.61
45to64;2019-02;5.81
45to64;2019-03;4.87
45to64;2019-04;6.59
45to64;2019-05;7.36
45to64;2019-06;5.83
45to64;2019-07;6.47
45to64;2019-08;3.52
45to64;2019-09;5.12
45to64;2019-10;3.83
45to64;2019-11;0.66
45to64;2019-12;0.3
45to64;2019-13;-0.97
45to64;2019-14;-0.08
45to64;2019-15;-1.7
45to64;2019-16;0.39
45to64;2019-17;0.5
45to64;2019-18;-1.47
45to64;2019-19;-1.1
45to64;2019-20;-0.48
45to64;2019-21;-1.15
45to64;2019-22;-0.29
45to64;2019-23;-0.24
45to64;2019-24;0.83
45to64;2019-25;1.35
45to64;2019-26;2.42
45to64;2019-27;2.84
45to64;2019-28;-2
45to64;2019-29;1.68
45to64;2019-30;2.43
45to64;2019-31;-0.43
45to64;2019-32;-1.13
45to64;2019-33;-3.45
45to64;2019-34;-2.07
45to64;2019-35;0.92
45to64;2019-36;-1.4
45to64;2019-37;-2.06
45to64;2019-38;0.4
45to64;2019-39;1.14
45to64;2019-40;0.06
45to64;2019-41;0.75
45to64;2019-42;-0.72
45to64;2019-43;-0.68
45to64;2019-44;-0.37
45to64;2019-45;2.33
45to64;2019-46;0.64
45to64;2019-47;-0.33
45to64;2019-48;0.38
45to64;2019-49;3.24
45to64;2019-50;1.86
45to64;2019-51;3.52
45to64;2019-52;0.54
45to64;2020-01;3.18
45to64;2020-02;3.92
45to64;2020-03;3.59
45to64;2020-04;1.24
45to64;2020-05;3.48
45to64;2020-06;2.29
45to64;2020-07;1.66
45to64;2020-08;0.58
45to64;2020-09;1.39
45to64;2020-10;1.88
45to64;2020-11;4.01
45to64;2020-12;8.59
45to64;2020-13;15.31
45to64;2020-14;21.47
45to64;2020-15;19.26
45to64;2020-16;12.18
45to64;2020-17;8.25
45to64;2020-18;3.55
45to64;2020-19;3.83
45to64;2020-20;2.06
45to64;2020-21;2.84
45to64;2020-22;2.32
45to64;2020-23;0.42
45to64;2020-24;0.58
45to64;2020-25;-1.26
45to64;2020-26;1.72
45to64;2020-27;0.53
45to64;2020-28;0.3
45to64;2020-29;0.67
45to64;2020-30;1.46
45to64;2020-31;3.14
45to64;2020-32;2.6
45to64;2020-33;6.78
45to64;2020-34;0.65
45to64;2020-35;-0.21
45to64;2020-36;0.83
45to64;2020-37;1.49
45to64;2020-38;2.64
45to64;2020-39;1.5
45to64;2020-40;3.06
45to64;2020-41;3.89
45to64;2020-42;3.95
45to64;2020-43;7.12
45to64;2020-44;7.33
45to64;2020-45;8.62
45to64;2020-46;10.25
45to64;2020-47;9.31
45to64;2020-48;12.02
45to64;2020-49;10.63
45to64;2020-50;12.44
45to64;2020-51;9.57
45to64;2020-52;11.33
45to64;2020-53;12.12
45to64;2021-01;15.43
45to64;2021-02;16.64
45to64;2021-03;16.9
45to64;2021-04;13.53
45to64;2021-05;11.54
45to64;2021-06;10.05
45to64;2021-07;8.95
45to64;2021-08;5.4
45to64;2021-09;4.23
45to64;2021-10;6.24
45to64;2021-11;5.11
45to64;2021-12;6.67
45to64;2021-13;7.73
45to64;2021-14;7.6
45to64;2021-15;9.11
45to64;2021-16;9.06
45to64;2021-17;8.72
45to64;2021-18;7.74
45to64;2021-19;5.37
45to64;2021-20;3.59
45to64;2021-21;3.2
45to64;2021-22;4.37
45to64;2021-23;2.76
45to64;2021-24;3.18
45to64;2021-25;3.06
45to64;2021-26;4.9
45to64;2021-27;2.85
45to64;2021-28;3.53
45to64;2021-29;5.2
45to64;2021-30;3.74
45to64;2021-31;5.72
45to64;2021-32;5.51
45to64;2021-33;5.72
45to64;2021-34;4.34
45to64;2021-35;6.45
45to64;2021-36;7.05
45to64;2021-37;3.62
45to64;2021-38;6.13
45to64;2021-39;3.78
45to64;2021-40;6.54
45to64;2021-41;7.37
45to64;2021-42;6.45
45to64;2021-43;6.27
45to64;2021-44;6.65
45to64;2021-45;6.1
45to64;2021-46;-2.89
65to74;2016-48;0.57
65to74;2016-49;2.24
65to74;2016-50;3.43
65to74;2016-51;6.38
65to74;2016-52;7.96
65to74;2017-01;11.26
65to74;2017-02;12.36
65to74;2017-03;9.01
65to74;2017-04;8.39
65to74;2017-05;11.4
65to74;2017-06;5.26
65to74;2017-07;5.47
65to74;2017-08;4.52
65to74;2017-09;2.3
65to74;2017-10;0.24
65to74;2017-11;-1.36
65to74;2017-12;-2.74
65to74;2017-13;-1.4
65to74;2017-14;-1.13
65to74;2017-15;-1.59
65to74;2017-16;-1.56
65to74;2017-17;0.5
65to74;2017-18;1.32
65to74;2017-19;1
65to74;2017-20;1.47
65to74;2017-21;-0.3
65to74;2017-22;-0.89
65to74;2017-23;-1.28
65to74;2017-24;-0.78
65to74;2017-25;2.2
65to74;2017-26;0.55
