Variante;Datum;Anteil [%];Gruppenzuordnung
XBB;2023-07-19;0.016;XBB.x
XBB;2023-07-26;0.014;XBB.x
XBB;2023-08-02;0.035;XBB.x
XBB;2023-08-09;0.008;XBB.x
XBB;2023-08-16;0.033;XBB.x
XBB;2023-08-23;0.023;XBB.x
XBB;2023-08-30;0.02;XBB.x
XBB;2023-09-06;0.018;XBB.x
XBB;2023-09-13;0.051;XBB.x
XBB;2023-09-20;0.037;XBB.x
XBB;2023-09-27;0.035;XBB.x
XBB;2023-10-04;0.021;XBB.x
XBB;2023-10-11;0.023;XBB.x
XBB;2023-10-18;0.044;XBB.x
XBB;2023-10-25;0.039;XBB.x
XBB;2023-11-01;0.04;XBB.x
XBB;2023-11-08;0.032;XBB.x
XBB;2023-11-15;0.049;XBB.x
XBB;2023-11-22;0.046;XBB.x
XBB;2023-11-29;0.047;XBB.x
XBB;2023-12-06;0.036;XBB.x
XBB;2023-12-13;0.029;XBB.x
XBB;2023-12-20;0.035;XBB.x
XBB;2023-12-27;0.036;XBB.x
XBB;2024-01-03;0.042;XBB.x
XBB;2024-01-10;0.04;XBB.x
XBB;2024-01-17;0.011;XBB.x
XBB;2024-01-24;0.028;XBB.x
XBB;2024-01-31;0.013;XBB.x
XBB;2024-02-07;0.004;XBB.x
XBB;2024-02-14;0.002;XBB.x
XBB;2024-02-21;0.0;XBB.x
XBB;2024-02-28;0.0;XBB.x
XBB;2024-03-06;0.0;XBB.x
XBB;2024-03-13;0.017;XBB.x
XBB;2024-03-20;0.02;XBB.x
XBB;2024-03-27;0.006;XBB.x
XBB;2024-04-03;0.0;XBB.x
XBB;2024-04-10;0.0;XBB.x
