JAHR;KW;BUNDESLAND;STATION;COVID;INFLUENZA;RSV;PNEUMOKOKKEN;SONSTIGE;AUFNAHMEN
2023;46;ST;N;187;11;4;3;175;360
2023;46;T;I;3;0;0;1;7;9
2023;46;T;N;90;0;3;9;93;189
2023;46;V;I;2;0;0;0;3;5
2023;46;V;N;37;0;1;3;44;80
2023;46;W;I;8;0;0;0;16;23
2023;46;W;N;150;6;3;3;170;316
2023;47;BGL;I;4;0;0;0;3;5
2023;47;BGL;N;65;0;0;2;42;105
2023;47;KTN;I;0;0;0;0;6;6
2023;47;KTN;N;133;1;0;6;80;203
2023;47;NÖ;I;8;0;0;0;4;12
2023;47;NÖ;N;229;4;2;1;156;370
2023;47;OÖ;I;7;0;0;0;9;14
2023;47;OÖ;N;250;4;3;3;189;429
2023;47;SBG;I;1;0;0;1;6;8
2023;47;SBG;N;76;0;3;0;87;148
2023;47;ST;I;13;2;1;0;15;27
2023;47;ST;N;233;15;2;1;176;415
2023;47;T;I;1;0;0;0;7;8
2023;47;T;N;105;1;3;2;84;185
2023;47;V;I;1;0;0;1;4;6
2023;47;V;N;44;3;3;4;51;98
2023;47;W;I;14;0;0;1;8;22
2023;47;W;N;172;6;3;3;147;313
2023;48;BGL;I;2;0;0;0;4;6
2023;48;BGL;N;66;1;1;0;35;97
2023;48;KTN;I;4;0;1;0;6;9
2023;48;KTN;N;104;2;1;4;66;166
2023;48;NÖ;I;13;0;0;1;9;20
2023;48;NÖ;N;222;14;5;3;149;364
2023;48;OÖ;I;12;0;0;2;14;26
2023;48;OÖ;N;278;5;5;2;168;433
2023;48;SBG;I;8;0;2;1;7;17
2023;48;SBG;N;92;1;0;0;71;149
2023;48;ST;I;10;0;0;0;5;14
2023;48;ST;N;252;18;3;1;201;449
2023;48;T;I;4;0;0;1;12;15
2023;48;T;N;115;0;2;1;128;231
2023;48;V;I;4;0;0;0;3;5
2023;48;V;N;53;2;9;9;46;110
2023;48;W;I;15;1;0;2;13;30
2023;48;W;N;216;13;7;2;167;382
